Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 4.1 Metal - 90.5 - Compatibility - Using Device: Apple - Apple M2 Pro

M2_COMBAT {"actors":0,"event":"start","focus":false,"hull":100.0,"instances":1,"paused":false,"phase":0,"seconds":0.0,"shield":50.0,"wave":0}
M2_COMBAT {"actors":0,"event":"wave","focus":false,"hull":100.0,"instances":1,"paused":false,"phase":1,"seconds":2.01666666666666,"shield":50.0,"wave":1}
M2_COMBAT {"actors":0,"event":"wave","focus":false,"hull":100.0,"instances":1,"paused":false,"phase":1,"seconds":20.8833333333334,"shield":50.0,"wave":2}
M2_COMBAT {"actors":0,"event":"wave","focus":false,"hull":100.0,"instances":1,"paused":false,"phase":1,"seconds":39.7333333333324,"shield":50.0,"wave":3}
M2_COMBAT {"actors":0,"event":"wave","focus":false,"hull":100.0,"instances":1,"paused":false,"phase":1,"seconds":64.1166666666643,"shield":50.0,"wave":4}
M2_COMBAT {"actors":0,"event":"wave","focus":false,"hull":100.0,"instances":1,"paused":false,"phase":1,"seconds":86.6499999999964,"shield":56.0499999999997,"wave":5}
M2_COMBAT {"actors":0,"event":"wave","focus":false,"hull":100.0,"instances":1,"paused":false,"phase":1,"seconds":107.616666666662,"shield":62.0,"wave":6}
M2_COMBAT {"actors":0,"event":"wave","focus":false,"hull":100.0,"instances":1,"paused":false,"phase":1,"seconds":128.416666666661,"shield":62.0,"wave":7}
M2_COMBAT {"actors":0,"event":"wave","focus":false,"hull":100.0,"instances":1,"paused":false,"phase":1,"seconds":158.583333333352,"shield":62.0,"wave":8}
M2_COMBAT {"actors":0,"event":"wave","focus":false,"hull":100.0,"instances":1,"paused":false,"phase":1,"seconds":179.266666666701,"shield":62.0,"wave":9}
M2_COMBAT {"actors":0,"event":"wave","focus":false,"hull":100.0,"instances":1,"paused":false,"phase":1,"seconds":210.233333333393,"shield":67.0416666666669,"wave":10}
M2_COMBAT {"actors":0,"event":"results","focus":false,"hull":100.0,"instances":1,"paused":false,"phase":2,"seconds":235.90000000008,"shield":92.0,"wave":10}
M2_COMBAT {"actors":0,"event":"lifecycle","focus":false,"hull":100.0,"instances":1,"paused":false,"phase":2,"seconds":235.90000000008,"shield":92.0,"wave":10}
PASS: M4 actual scene rendered draft/details/recruit/combat/finale/results/report; finale=true
